encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,E_process_single_J,P_process_W,t_process_single_s
x265,720p,ControlledBurn_720p,37,ultrafast,0.322083,8904.96,30.8432,41.7788,41.4749,32.191156,80.9532026666667,42.5448259292447,1.90277433033333
x265,720p,ControlledBurn_720p,37,veryfast,0.314245,8688.24,31.3133,41.1086,40.9044,32.52495,302.99841575,42.1455480735204,7.1893338585
x265,4K,Crosswalk_4k,22,fast,0.21632,107547.09,43.4495,48.4148,50.8094,44.219825,3647.1026992,42.631412835146,85.5496559146
x265,4K,Crosswalk_4k,22,faster,0.216317,107545.68,43.4495,48.4148,50.8094,44.219825,3661.53131928571,42.6083334598289,85.9346287912857
x265,4K,Crosswalk_4k,22,medium,0.216112,107443.73,43.452,48.4266,50.8297,44.224019,3919.23258157143,42.6324706036946,91.9306933441428
x265,4K,Crosswalk_4k,22,superfast,0.216365,107569.75,43.4358,48.3989,50.7822,44.205144,3453.75551914286,42.9640852890627,80.3870371242857
x265,4K,Crosswalk_4k,22,ultrafast,0.215328,107053.85,43.4057,48.4176,50.8251,44.182656,907.491643142857,43.1571403594154,21.0276129415714
x265,4K,Crosswalk_4k,22,veryfast,0.216317,107545.68,43.4495,48.4148,50.8094,44.219825,3654.7880926,42.66956374459,85.65328004
x265,4K,Crosswalk_4k,27,fast,0.076211,37889.8,42.4767,47.3588,49.7932,43.239112,2793.91936133333,43.5961341412109,64.0864016126667
x265,4K,Crosswalk_4k,27,faster,0.076209,37888.39,42.4767,47.3588,49.7932,43.239112,2796.55883525,43.5836323184409,64.1653457155
x265,4K,Crosswalk_4k,27,medium,0.075699,37634.92,42.4814,47.3586,49.7828,43.242562,2992.0753966,43.6485553630363,68.5492422765
x265,4K,Crosswalk_4k,27,superfast,0.076366,37966.74,42.4575,47.3663,49.7974,43.223044,2675.28835766667,43.8894856546422,60.9551084448333
x265,4K,Crosswalk_4k,27,ultrafast,0.076637,38101.26,42.4384,47.3549,49.7769,43.204338,698.141139571429,43.9416957164077,15.8878970915714
x265,4K,Crosswalk_4k,27,veryfast,0.076209,37888.39,42.4767,47.3588,49.7932,43.239112,2805.18298714286,43.5864033400216,64.3591297327143
x265,4K,Crosswalk_4k,32,fast,0.041528,20646.22,41.6451,46.238,48.4231,42.355781,2378.9751232,44.1477471650289,53.8866709168
x265,4K,Crosswalk_4k,32,faster,0.041525,20644.81,41.6451,46.238,48.4231,42.355781,2383.9153145,44.2566523649485,53.86569446875
x265,4K,Crosswalk_4k,32,medium,0.04123,20498.02,41.655,46.2422,48.4197,42.364494,2498.3165784,43.954054161508,56.839275149
x265,4K,Crosswalk_4k,32,superfast,0.04178,20771.78,41.6314,46.2419,48.4187,42.343762,2308.791444,44.2171828692651,52.2148018978572
x265,4K,Crosswalk_4k,32,ultrafast,0.041902,20832.19,41.6119,46.2256,48.4043,42.324781,616.9415848,44.2066131885404,13.9558663354
x265,4K,Crosswalk_4k,32,veryfast,0.041525,20644.81,41.6451,46.238,48.4231,42.355781,2384.0598268,44.2175385117521,53.9166110788
x265,4K,Crosswalk_4k,37,fast,0.025252,12554.26,40.4614,45.223,47.1739,41.178531,2162.0790228,44.4943389696325,48.5922270758
x265,4K,Crosswalk_4k,37,faster,0.025249,12552.84,40.4614,45.223,47.1739,41.178531,2159.92330375,44.4163839959996,48.6289767295
x265,4K,Crosswalk_4k,37,medium,0.025058,12457.97,40.4755,45.2244,47.1637,41.190319,2255.5039,44.5492000798961,50.62950391825
x265,4K,Crosswalk_4k,37,superfast,0.025571,12712.85,40.4601,45.2165,47.1706,41.176781,2112.972638,44.5022713065334,47.480107778
x265,4K,Crosswalk_4k,37,ultrafast,0.025672,12763.35,40.4393,45.1828,47.1116,41.152788,581.890830333333,44.4167128973898,13.100718004
x265,4K,Crosswalk_4k,37,veryfast,0.025249,12552.84,40.4614,45.223,47.1739,41.178531,2158.67422233333,44.5254742941127,48.4817793983333
x265,1080p,CrowdRun_1080p50,22,fast,1.979888,205274.81,40.9595,41.4711,41.9049,41.050562,1386.8808118,40.231973,34.472105
