value,unit,event,time,percent,metric,metric_desc,vendor,config,config_id,preset,qp,sequence,src_res,fps,bit,chroma,enc_res,target_fps,frames,test_type
2482496179.0,,l1-icache-load-misses,253924315430.0,45.47,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
,,llc-loads,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
,,llc-load-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
,,llc-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
,,llc-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
421332037040.0,,branch-instructions,253938134188.0,45.47,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
14229394370.0,,branch-misses,253918988214.0,45.47,3.38,of all branches,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
1938062522.0,,dtlb-loads,253890065729.0,45.47,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
82928767.0,,dtlb-load-misses,253860237680.0,45.46,4.28,of all dTLB cache accesses,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
,,dtlb-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
,,dtlb-store-misses,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket2,3840x2160,5994,8,420,3840x2160,60,130,extended
1310562867879.0,,instructions,73889164847.0,45.46,2.27,insn per cycle,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
576708466316.0,,cycles,73865817317.0,45.45,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
22292715568.0,,cache-references,73854873152.0,45.44,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
1139666141.0,,cache-misses,73877438009.0,45.45,5.112,of all cache refs,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
460865535203.0,,l1-dcache-loads,73908356970.0,45.47,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
5666598800.0,,l1-dcache-load-misses,73941000537.0,45.49,1.23,of all L1-dcache accesses,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
,,l1-dcache-stores,0.0,100.0,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
669619834.0,,l1-icache-load-misses,73970326365.0,45.5,,,amd,A,dis_deblock_en_sao,faster,22,FoodMarket,1920x1080,5994,8,420,1920x1080,60,130,extended
