index,qp,preset,seqname,config,E_hw_slow,instructions,cycles,branches,branch-misses,cache-references,cache-misses,l1-dcache-loads,l1-dcache-load-misses,l1-dcache-stores,l1-icache-load-misses,llc-loads,llc-load-misses,llc-stores,llc-store-misses,dtlb-loads,dtlb-load-misses,dtlb-stores,dtlb-store-misses
94,37,fast,CrowdRun,A,6.3421,9.39959E+11,5.25296E+11,93152825305,3704841600,2242821410,170631653,2.54683E+11,4632107467,1.16249E+11,2575890983,546838897,91476858,395985992,75135864,2.54292E+11,30534209,1.15977E+11,9510901
95,37,fast,DinnerSceneCropped,A,6.3238,6.62698E+11,3.36269E+11,66663775190,1316458628,1822582271,128129236,1.84645E+11,3765816323,84190752925,1875694106,421404441,71824932,342671630,54841258,1.84539E+11,21307180,84171317105,6497644
96,37,fast,FoodMarket,A,13.2051,7.34594E+11,3.29939E+11,71677738694,1955045219,459504874,339565376,2.03832E+11,4090064669,92268898778,6972222390,80682453,62188413,79845379,59349653,2.0347E+11,7347087,92049372163,4397212
97,37,fast,FoodMarket2,A,6.3796,2.89426E+12,1.57764E+12,2.83567E+11,8002416099,8016000073,609158633,8.01364E+11,17716943455,3.67113E+11,8972610273,1971747042,352198918,1480813074,245705811,8.00661E+11,124419886,3.666E+11,32340692
98,37,fast,MeridianTalk_sdr,A,6.3354,6.49447E+11,3.35458E+11,64214875883,1390995660,1889743573,129742494,1.80733E+11,3840054425,82180645183,1944878610,451101356,73005962,355464286,55579863,1.8036E+11,21241503,81988147604,6826431
99,37,fast,Motorcycle,A,6.3269,8.43154E+11,4.66864E+11,82957764177,3095584482,2005187722,161732654,2.28307E+11,4499648629,1.03304E+11,2376985379,472314496,89727600,374007313,70735370,2.27967E+11,25367037,1.03089E+11,8955680
100,37,fast,MountainBike,A,6.3469,8.62232E+11,4.79829E+11,84883055119,3196354767,2158388353,170058009,2.33892E+11,4537872395,1.06349E+11,2518822071,501054152,93469176,379404870,73885603,2.33712E+11,28681232,1.06232E+11,9391607
101,37,fast,Neon1224,A,13.1415,2.55176E+12,1.36207E+12,2.49701E+11,5750279367,7342662829,559212922,7.07727E+11,15986557880,3.20466E+11,7754170517,1794206521,322998157,1393419575,223857044,7.06525E+11,120101109,3.19697E+11,33831815
102,37,fast,NocturneDance_3840x2160p_8bit,A,13.1773,2.61136E+12,1.37811E+12,2.54375E+11,6212911401,7660918560,582609881,7.22022E+11,16748915458,3.27777E+11,8253682148,1868667191,333753641,1421636873,230546502,7.21233E+11,91868229,3.27198E+11,21406584
103,37,fast,OldTownCross,A,6.3815,7.77454E+11,3.52576E+11,76229224713,2224794344,494301916,358451637,2.14351E+11,4083390331,96936851244,6879559065,77511173,63942923,76985207,62552803,2.14122E+11,7726312,96729767067,4368798
104,37,fast,PedestrianArea,A,6.3598,6.7717E+11,3.57722E+11,66747854634,1687584528,1899269424,142289080,1.88001E+11,4007201965,85624013657,2086230427,452367884,82075620,351706599,59112399,1.87899E+11,22574305,85524406792,7146001
105,37,fast,PierSeaSide,A,13.1386,3.14627E+12,1.74313E+12,2.60401E+11,7212068436,6613401703,548887166,8.78101E+11,15715305089,3.74269E+11,32402081852,2208535379,348780313,1785070754,284150470,8.77105E+11,83777497,3.73524E+11,28724529
106,37,fast,RitualDance,A,6.3482,6.28954E+11,3.29923E+11,61936647029,1427059660,1870488691,127756114,1.74824E+11,3799039607,79016830428,1963456510,452126981,73006765,354694537,57129302,1.74626E+11,20732571,78898734871,6549823
107,37,fast,Riverbed,A,6.362,7.75349E+11,4.23681E+11,76346353407,2358818758,2202247887,155788206,2.14618E+11,4437221454,98879361230,2456499274,549173020,87052086,391375234,69023752,2.1401E+11,26085855,98547367295,10310435
