video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
Tango_4k,32,superfast,31678.28,39.3899,46.3662,44.4375
Tango_4k,37,superfast,19151.87,38.2100,45.1352,43.1155
Tango_4k,22,veryfast,192098.81,41.9514,48.8695,47.6113
Tango_4k,27,veryfast,62464.95,40.3413,47.6918,46.0136
Tango_4k,32,veryfast,31541.40,39.4054,46.3623,44.4371
Tango_4k,37,veryfast,18996.58,38.2195,45.1105,43.1052
Tango_4k,22,faster,192098.81,41.9514,48.8695,47.6113
Tango_4k,27,faster,62464.95,40.3413,47.6918,46.0136
Tango_4k,32,faster,31541.40,39.4054,46.3623,44.4371
Tango_4k,37,faster,18996.58,38.2195,45.1105,43.1052
Tango_4k,22,fast,192100.22,41.9514,48.8695,47.6113
Tango_4k,27,fast,62466.37,40.3413,47.6918,46.0136
Tango_4k,32,fast,31542.82,39.4054,46.3623,44.4371
Tango_4k,37,fast,18998.00,38.2195,45.1105,43.1052
Tango_4k,22,medium,191964.77,41.9535,48.8648,47.6062
Tango_4k,27,medium,62174.68,40.3440,47.7000,46.0251
Tango_4k,32,medium,31478.62,39.4101,46.3673,44.4441
Tango_4k,37,medium,18946.08,38.2247,45.1222,43.1025
Tango_4k,22,slow,126786.29,41.4165,48.7704,47.3848
Tango_4k,27,slow,49123.88,40.1691,47.5485,45.7121
Tango_4k,32,slow,27893.79,39.2705,46.0946,43.9766
Tango_4k,37,slow,16879.66,38.0131,44.8080,42.5944
Tango_4k,22,slower,127322.00,41.4263,48.7778,47.3943
Tango_4k,27,slower,49120.10,40.1751,47.5531,45.7198
Tango_4k,32,slower,27946.65,39.2817,46.0946,43.9876
Tango_4k,37,slower,16860.78,38.0289,44.8069,42.6099
Tango_4k,22,veryslow,127323.43,41.4263,48.7778,47.3943
Tango_4k,27,veryslow,49121.52,40.1751,47.5531,45.7198
Tango_4k,32,veryslow,27948.06,39.2817,46.0946,43.9876
Tango_4k,37,veryslow,16862.20,38.0289,44.8069,42.6099
Tango_4k,22,placebo,127472.11,41.4252,48.7746,47.3928
Tango_4k,27,placebo,49239.04,40.1747,47.5555,45.7244
Tango_4k,32,placebo,27880.10,39.2794,46.1014,43.9909
Tango_4k,37,placebo,16848.04,38.0264,44.8182,42.6111
TimeLapse_4k,22,ultrafast,267827.44,44.1040,47.9635,49.2402
