encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv
x265,4K,NocturneDance_4k,22,slow,0.379274,188750.890000,47.246300,44.146000,47.278600,47.054550
x265,4K,NocturneDance_4k,27,slow,0.206603,102818.880000,44.198400,41.063400,44.971600,44.050787
x265,4K,NocturneDance_4k,32,slow,0.109940,54713.290000,41.077600,38.820700,43.408500,41.082225
x265,4K,NocturneDance_4k,37,slow,0.055535,27637.920000,37.977500,37.292500,42.485400,38.216431
x265,4K,NocturneDance_4k,22,slower,0.378605,188418.250000,47.261800,44.152600,47.281000,47.068675
x265,4K,NocturneDance_4k,27,slower,0.205874,102456.010000,44.211100,41.083900,44.983000,44.063894
x265,4K,NocturneDance_4k,32,slower,0.110024,54755.040000,41.103500,38.857900,43.436400,41.108956
x265,4K,NocturneDance_4k,37,slower,0.056270,28003.680000,38.035100,37.364800,42.509100,38.272831
x265,4K,NocturneDance_4k,22,veryslow,0.378608,188419.690000,47.261800,44.152600,47.281000,47.068675
x265,4K,NocturneDance_4k,27,veryslow,0.205877,102457.440000,44.211100,41.083900,44.983000,44.063894
x265,4K,NocturneDance_4k,32,veryslow,0.110027,54756.480000,41.103500,38.857900,43.436400,41.108956
x265,4K,NocturneDance_4k,37,veryslow,0.056273,28005.120000,38.035100,37.364800,42.509100,38.272831
x265,4K,NocturneDance_4k,22,placebo,0.379079,188653.940000,47.265400,44.161200,47.291000,47.072987
x265,4K,NocturneDance_4k,27,placebo,0.206496,102765.610000,44.217500,41.084600,44.990800,44.070025
x265,4K,NocturneDance_4k,32,placebo,0.110008,54746.880000,41.105500,38.851000,43.424000,41.109500
x265,4K,NocturneDance_4k,37,placebo,0.056013,27875.520000,38.027900,37.351000,42.498100,38.264981
x265,4K,PierSeaSide_4k,22,ultrafast,0.205136,50993.370000,45.717100,47.691000,45.792500,45.845181
x265,4K,PierSeaSide_4k,27,ultrafast,0.111698,27766.230000,43.998300,45.880900,44.134600,44.124481
x265,4K,PierSeaSide_4k,32,ultrafast,0.065099,16182.470000,41.925000,44.154400,42.827200,42.120725
x265,4K,PierSeaSide_4k,37,ultrafast,0.039733,9876.940000,39.580100,42.682500,41.734100,39.908625
x265,4K,PierSeaSide_4k,22,superfast,0.197729,49151.990000,45.845400,47.683400,45.831000,45.959375
x265,4K,PierSeaSide_4k,27,superfast,0.106953,26586.740000,44.147200,45.822800,44.124400,44.250500
x265,4K,PierSeaSide_4k,32,superfast,0.063180,15705.470000,42.109100,44.016300,42.741300,42.267812
x265,4K,PierSeaSide_4k,37,superfast,0.038845,9656.300000,39.740100,42.515500,41.594400,40.029456
x265,4K,PierSeaSide_4k,22,veryfast,0.197286,49042.020000,45.878000,47.713900,45.849800,45.990981
x265,4K,PierSeaSide_4k,27,veryfast,0.106615,26502.750000,44.198600,45.844700,44.141600,44.297919
x265,4K,PierSeaSide_4k,32,veryfast,0.062670,15578.800000,42.157400,44.018600,42.748900,42.310694
x265,4K,PierSeaSide_4k,37,veryfast,0.038481,9565.820000,39.756500,42.525000,41.605800,40.045113
x265,4K,PierSeaSide_4k,22,faster,0.197286,49042.020000,45.878000,47.713900,45.849800,45.990981
x265,4K,PierSeaSide_4k,27,faster,0.106615,26502.750000,44.198600,45.844700,44.141600,44.297919
x265,4K,PierSeaSide_4k,32,faster,0.062670,15578.800000,42.157400,44.018600,42.748900,42.310694
x265,4K,PierSeaSide_4k,37,faster,0.038481,9565.820000,39.756500,42.525000,41.605800,40.045113
x265,4K,PierSeaSide_4k,22,fast,0.197289,49042.710000,45.878000,47.713900,45.849800,45.990981
x265,4K,PierSeaSide_4k,27,fast,0.106618,26503.450000,44.198600,45.844700,44.141600,44.297919
x265,4K,PierSeaSide_4k,32,fast,0.062673,15579.500000,42.157400,44.018600,42.748900,42.310694
x265,4K,PierSeaSide_4k,37,fast,0.038484,9566.520000,39.756500,42.525000,41.605800,40.045113
x265,4K,PierSeaSide_4k,22,medium,0.196816,48925.090000,45.880800,47.718900,45.852500,45.993912
x265,4K,PierSeaSide_4k,27,medium,0.106510,26476.540000,44.201800,45.840600,44.137800,44.300225
x265,4K,PierSeaSide_4k,32,medium,0.062650,15573.700000,42.162600,44.015200,42.746400,42.314875
x265,4K,PierSeaSide_4k,37,medium,0.038296,9519.660000,39.754300,42.520100,41.607100,40.042963
x265,4K,PierSeaSide_4k,22,slow,0.169848,42221.450000,45.681000,47.459300,45.490900,45.780262
x265,4K,PierSeaSide_4k,27,slow,0.094756,23554.730000,43.983700,45.475900,43.778800,44.064156
