encoder,resolution,video_name,qp,preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,E_process_single_J,P_process_W,t_process_single_s
NVIDIA,4K,PierSeaSide_4k,27,medium,0.140367,34892.8,43.927957,20.603281,23.876649,41.216958,13.1542,2.03,6.493
NVIDIA,4K,PierSeaSide_4k,32,medium,0.080732,20068.66,41.739281,20.609716,23.870002,39.301853,13.2765,2.04,6.498
NVIDIA,4K,PierSeaSide_4k,37,medium,0.048012,11934.88,39.267171,20.60963,23.869611,37.138727,13.2617,2.04,6.501
NVIDIA,4K,PierSeaSide_4k,22,slow,0.264227,65682.29,45.677406,20.608826,23.845474,42.746124,13.2578,2.04,6.498
NVIDIA,4K,PierSeaSide_4k,27,slow,0.140367,34892.8,43.927957,20.603281,23.876649,41.216958,13.27,2.04,6.499
NVIDIA,4K,PierSeaSide_4k,32,slow,0.080732,20068.66,41.739281,20.609716,23.870002,39.301853,13.3017,2.05,6.5
NVIDIA,4K,PierSeaSide_4k,37,slow,0.048012,11934.88,39.267171,20.60963,23.869611,37.138727,13.1386,2.02,6.49
NVIDIA,4K,Tango_4k,22,ultrafast,0.428278,212925.41,41.788772,23.846058,21.01906,39.369245,10.2229,4.09,2.5
NVIDIA,4K,Tango_4k,27,ultrafast,0.144502,71841.44,40.221451,23.855116,21.013639,37.998067,9.0954,4.55,2.0
NVIDIA,4K,Tango_4k,32,ultrafast,0.070012,34807.75,39.215221,23.864952,21.019859,37.118619,9.1224,4.56,2.0
NVIDIA,4K,Tango_4k,37,ultrafast,0.041576,20670.35,37.970735,23.871454,21.023045,36.030299,9.1783,4.59,2.0
NVIDIA,4K,Tango_4k,22,fast,0.429405,213485.79,41.826298,23.847239,21.01849,39.402119,8.6533,5.77,1.5
NVIDIA,4K,Tango_4k,27,fast,0.140106,69655.82,40.224768,23.857521,21.012735,38.001063,8.5738,5.71,1.5
NVIDIA,4K,Tango_4k,32,fast,0.068037,33825.71,39.234688,23.864847,21.018815,37.135581,8.675,5.78,1.5
NVIDIA,4K,Tango_4k,37,fast,0.040352,20061.71,38.007389,23.870583,21.024895,36.062433,8.6801,5.79,1.5
NVIDIA,4K,Tango_4k,22,medium,0.429592,213578.9,41.844766,23.845235,21.01737,39.418083,14.2483,2.04,6.999
NVIDIA,4K,Tango_4k,27,medium,0.139786,69497.13,40.1952,23.8529,21.012624,37.974895,13.4175,2.06,6.503
NVIDIA,4K,Tango_4k,32,medium,0.067595,33606.23,39.114996,23.860293,21.018633,37.030554,13.3192,2.05,6.501
NVIDIA,4K,Tango_4k,37,medium,0.040161,19966.87,37.810385,23.865913,21.023567,35.889679,13.2784,2.04,6.501
NVIDIA,4K,Tango_4k,22,slow,0.429592,213578.9,41.844766,23.845235,21.01737,39.418083,14.0446,2.05,6.867
NVIDIA,4K,Tango_4k,27,slow,0.139786,69497.13,40.1952,23.8529,21.012624,37.974895,13.3681,2.06,6.499
NVIDIA,4K,Tango_4k,32,slow,0.067595,33606.23,39.114996,23.860293,21.018633,37.030554,13.2135,2.03,6.5
NVIDIA,4K,Tango_4k,37,slow,0.040161,19966.87,37.810385,23.865913,21.023567,35.889679,13.1884,2.03,6.5
NVIDIA,4K,TimeLapse_4k,22,ultrafast,0.510906,254005.39,44.080308,28.435817,27.863,42.088946,10.227,4.09,2.5
NVIDIA,4K,TimeLapse_4k,27,ultrafast,0.281636,140020.2,41.506144,28.4544,27.883025,39.838965,9.0096,4.5,2.0
NVIDIA,4K,TimeLapse_4k,32,ultrafast,0.155762,77439.92,38.851122,28.459782,27.910414,37.517869,9.0383,4.52,2.0
NVIDIA,4K,TimeLapse_4k,37,ultrafast,0.084248,41885.38,36.202163,28.461968,27.940433,35.202043,9.0942,4.55,2.0
NVIDIA,4K,TimeLapse_4k,22,fast,0.508698,252907.78,44.042047,28.440053,27.865455,42.055885,8.661,5.77,1.5
NVIDIA,4K,TimeLapse_4k,27,fast,0.279804,139109.47,41.479581,28.461017,27.888625,39.816486,8.5529,5.7,1.499
NVIDIA,4K,TimeLapse_4k,32,fast,0.153883,76505.51,38.807937,28.462167,27.91512,37.480525,8.5992,5.73,1.5
NVIDIA,4K,TimeLapse_4k,37,fast,0.082597,41064.41,36.172007,28.461153,27.941164,35.175651,8.6478,5.77,1.5
NVIDIA,4K,TimeLapse_4k,22,medium,0.503571,250358.84,44.113595,28.434043,27.85346,42.117365,14.0996,2.01,7.002
NVIDIA,4K,TimeLapse_4k,27,medium,0.275815,137125.9,41.480223,28.448756,27.872214,39.815256,13.2316,2.04,6.494
NVIDIA,4K,TimeLapse_4k,32,medium,0.151866,75502.55,38.728668,28.453972,27.898378,37.409606,13.3854,2.06,6.503
NVIDIA,4K,TimeLapse_4k,37,medium,0.082,40767.79,36.014248,28.452145,27.923431,35.035941,13.2662,2.04,6.502
NVIDIA,4K,TimeLapse_4k,22,slow,0.503571,250358.84,44.113595,28.434043,27.85346,42.117365,14.086,2.01,7.001
NVIDIA,4K,TimeLapse_4k,27,slow,0.275815,137125.9,41.480223,28.448756,27.872214,39.815256,13.4118,2.06,6.502
NVIDIA,4K,TimeLapse_4k,32,slow,0.151866,75502.55,38.728668,28.453972,27.898378,37.409606,13.4036,2.06,6.5
NVIDIA,4K,TimeLapse_4k,37,slow,0.082,40767.79,36.014248,28.452145,27.923431,35.035941,13.2327,1.75,11.5
NVIDIA,1080p,Boat_2k,22,ultrafast,1.608547,199929.0,41.785839,22.643844,22.465405,39.381937,5.3044,3.54,1.499
NVIDIA,1080p,Boat_2k,27,ultrafast,1.010533,125600.88,38.030513,22.658992,22.48799,36.098385,4.8045,3.84,1.25
NVIDIA,1080p,Boat_2k,32,ultrafast,0.605395,75245.59,34.383362,22.685268,22.510139,32.910155,4.7367,3.79,1.25
NVIDIA,1080p,Boat_2k,37,ultrafast,0.347806,43229.35,31.065388,22.722034,22.540804,30.011142,4.7005,3.76,1.25
NVIDIA,1080p,Boat_2k,22,fast,1.602485,199175.56,41.830529,22.644407,22.464702,39.421032,5.2442,3.49,1.501
NVIDIA,1080p,Boat_2k,27,fast,1.005281,124948.11,38.077217,22.659423,22.487198,36.139229,5.1671,3.45,1.499
NVIDIA,1080p,Boat_2k,32,fast,0.601249,74730.25,34.444783,22.687409,22.5078,32.963886,5.1635,3.44,1.5
NVIDIA,1080p,Boat_2k,37,fast,0.345043,42885.93,31.139909,22.715482,22.534314,30.075533,5.1289,3.42,1.5
NVIDIA,1080p,Boat_2k,22,medium,1.611827,200336.78,41.906253,22.635985,22.455362,39.486181,7.1047,3.55,2.0
NVIDIA,1080p,Boat_2k,27,medium,1.016745,126372.96,38.125252,22.646629,22.469668,36.179364,7.1246,3.56,2.001
NVIDIA,1080p,Boat_2k,32,medium,0.608637,75648.56,34.430618,22.67328,22.491272,32.949575,6.3926,4.26,1.501
NVIDIA,1080p,Boat_2k,37,medium,0.347444,43184.45,31.037965,22.703744,22.516401,29.984478,6.3724,4.25,1.5
NVIDIA,1080p,Boat_2k,22,slow,1.611827,200336.78,41.906253,22.635985,22.455362,39.486181,7.1358,3.57,2.0
NVIDIA,1080p,Boat_2k,27,slow,1.016745,126372.96,38.125252,22.646629,22.469668,36.179364,6.8668,3.79,1.833
NVIDIA,1080p,Boat_2k,32,slow,0.608637,75648.56,34.430618,22.67328,22.491272,32.949575,6.3672,4.24,1.5
NVIDIA,1080p,Boat_2k,37,slow,0.347444,43184.45,31.037965,22.703744,22.516401,29.984478,6.3417,4.23,1.5
NVIDIA,1080p,FoodMarket_2k,22,ultrafast,0.81784,101650.72,41.375927,27.097054,28.32799,39.668001,4.7347,3.78,1.252
NVIDIA,1080p,FoodMarket_2k,27,ultrafast,0.366377,45537.63,38.940337,27.132194,28.36031,37.541076,4.6762,3.74,1.25
NVIDIA,1080p,FoodMarket_2k,32,ultrafast,0.184605,22944.9,36.878321,27.178469,28.394369,35.741833,4.7031,3.76,1.25
NVIDIA,1080p,FoodMarket_2k,37,ultrafast,0.095439,11862.22,34.754288,27.212935,28.402995,33.885998,4.7333,3.79,1.25
NVIDIA,1080p,FoodMarket_2k,22,fast,0.812819,101026.7,41.408037,27.094868,28.329202,39.696037,5.091,3.39,1.501
NVIDIA,1080p,FoodMarket_2k,27,fast,0.362565,45063.85,38.982716,27.129142,28.360598,37.577985,5.07,3.38,1.5
NVIDIA,1080p,FoodMarket_2k,32,fast,0.182035,22625.44,36.944231,27.177773,28.390734,35.799234,5.1213,3.41,1.5
NVIDIA,1080p,FoodMarket_2k,37,fast,0.0938,11658.57,34.835674,27.215035,28.400506,33.957186,5.109,3.41,1.5
NVIDIA,1080p,FoodMarket_2k,22,medium,0.814826,101276.16,41.443303,27.082642,28.318275,39.725447,7.1019,3.55,2.0
NVIDIA,1080p,FoodMarket_2k,27,medium,0.36063,44823.37,38.94646,27.113748,28.349791,37.544624,6.3778,4.25,1.5
NVIDIA,1080p,FoodMarket_2k,32,medium,0.180555,22441.46,36.79088,27.15644,28.376851,35.662851,6.3218,4.21,1.5
NVIDIA,1080p,FoodMarket_2k,37,medium,0.09323,11587.77,34.611828,27.19311,28.387806,33.759157,6.3586,4.24,1.5
NVIDIA,1080p,FoodMarket_2k,22,slow,0.814826,101276.16,41.443303,27.082642,28.318275,39.725447,6.8418,3.78,1.832
NVIDIA,1080p,FoodMarket_2k,27,slow,0.36063,44823.37,38.94646,27.113748,28.349791,37.544624,6.3553,4.24,1.5
NVIDIA,1080p,FoodMarket_2k,32,slow,0.180555,22441.46,36.79088,27.15644,28.376851,35.662851,6.3658,4.24,1.5
NVIDIA,1080p,FoodMarket_2k,37,slow,0.09323,11587.77,34.611828,27.19311,28.387806,33.759157,6.3796,4.25,1.501
NVIDIA,1080p,MeridianTalk_sdr_2k,22,ultrafast,0.34076,42353.68,43.035567,28.07851,26.879904,41.091022,4.6791,3.74,1.25
NVIDIA,1080p,MeridianTalk_sdr_2k,27,ultrafast,0.138911,17265.45,41.524167,28.111363,26.897078,39.771674,4.714,3.77,1.25
NVIDIA,1080p,MeridianTalk_sdr_2k,32,ultrafast,0.072423,9001.53,40.06013,28.1417,26.935549,38.494942,4.745,3.8,1.25
NVIDIA,1080p,MeridianTalk_sdr_2k,37,ultrafast,0.039782,4944.61,38.359914,28.139626,26.965782,37.009013,4.7462,3.8,1.25
