video_name,qp,preset,E_process_single_J,P_process_W,t_process_single_s,E_load_total_J,t_load_total_s,P_load_W,E_idle_total_J,t_idle_total_s,P_idle_W
Skater227_2k,27,1,2.9310,4.39,0.667,21.6614,2.001,10.83,12.8684,2.001,6.43
Skater227_2k,27,2,3.6546,4.88,0.749,15.9120,1.498,10.62,8.6027,1.498,5.74
Skater227_2k,27,3,6.3203,4.21,1.501,14.9371,1.501,9.95,8.6168,1.501,5.74
Skater227_2k,27,4,6.3271,4.22,1.500,14.9417,1.500,9.96,8.6146,1.500,5.74
Skater227_2k,32,1,2.6163,4.84,0.545,17.6210,1.634,10.78,9.7719,1.634,5.94
Skater227_2k,32,2,3.6667,4.89,0.750,15.9554,1.501,10.63,8.6220,1.501,5.74
Skater227_2k,32,3,6.3495,4.23,1.501,14.9330,1.501,9.95,8.5835,1.501,5.72
Skater227_2k,32,4,6.3101,4.21,1.500,14.9190,1.500,9.95,8.6089,1.500,5.74
Skater227_2k,37,1,2.5110,5.02,0.500,16.1507,1.500,10.77,8.6178,1.500,5.75
Skater227_2k,37,2,3.6295,4.85,0.749,15.8838,1.497,10.61,8.6247,1.497,5.76
Skater227_2k,37,3,6.3108,4.21,1.500,14.9185,1.500,9.94,8.6078,1.500,5.74
Skater227_2k,37,4,6.3392,4.23,1.500,14.9118,1.500,9.94,8.5726,1.500,5.71
TunnelFlag_2k,22,1,2.8987,4.35,0.667,21.6120,2.001,10.80,12.9160,2.001,6.45
TunnelFlag_2k,22,2,3.6768,4.90,0.750,15.9557,1.500,10.63,8.6022,1.500,5.73
TunnelFlag_2k,22,3,7.0899,3.55,2.000,19.9913,2.000,10.00,12.9014,2.000,6.45
TunnelFlag_2k,22,4,6.3769,4.25,1.500,14.9705,1.500,9.98,8.5936,1.500,5.73
TunnelFlag_2k,27,1,2.8835,4.32,0.667,21.5534,2.001,10.77,12.9031,2.001,6.45
TunnelFlag_2k,27,2,3.6354,4.85,0.750,15.8807,1.500,10.59,8.6099,1.500,5.74
TunnelFlag_2k,27,3,6.3342,4.22,1.500,14.9423,1.500,9.96,8.6081,1.500,5.74
TunnelFlag_2k,27,4,6.3180,4.21,1.500,14.9427,1.500,9.96,8.6247,1.500,5.75
TunnelFlag_2k,32,1,2.8616,4.29,0.667,21.4853,2.000,10.75,12.9005,2.000,6.45
TunnelFlag_2k,32,2,3.6349,4.85,0.750,15.8663,1.500,10.58,8.5964,1.500,5.73
TunnelFlag_2k,32,3,6.3477,4.22,1.502,14.9555,1.502,9.95,8.6078,1.502,5.73
TunnelFlag_2k,32,4,6.3203,4.21,1.500,14.9252,1.500,9.95,8.6050,1.500,5.74
TunnelFlag_2k,37,1,2.8528,4.28,0.667,21.4717,2.001,10.73,12.9132,2.001,6.45
TunnelFlag_2k,37,2,3.6351,4.84,0.750,15.8807,1.501,10.58,8.6105,1.501,5.74
TunnelFlag_2k,37,3,6.3301,4.22,1.500,14.9237,1.500,9.95,8.5935,1.500,5.73
TunnelFlag_2k,37,4,6.3190,4.21,1.500,14.9243,1.500,9.95,8.6053,1.500,5.74
Vertical_bees_2k,22,1,2.9129,4.37,0.667,21.6428,2.000,10.82,12.9041,2.000,6.45
Vertical_bees_2k,22,2,3.6719,4.89,0.751,15.9649,1.501,10.64,8.6212,1.501,5.74
Vertical_bees_2k,22,3,6.3749,4.25,1.500,14.9897,1.500,10.00,8.6148,1.500,5.74
Vertical_bees_2k,22,4,6.3718,4.25,1.500,14.9918,1.500,9.99,8.6200,1.500,5.75
Vertical_bees_2k,27,1,2.9151,4.37,0.666,21.6746,1.999,10.84,12.9292,1.999,6.47
Vertical_bees_2k,27,2,3.6896,4.92,0.750,15.9913,1.501,10.65,8.6121,1.501,5.74
Vertical_bees_2k,27,3,6.3638,4.24,1.500,14.9820,1.500,9.99,8.6182,1.500,5.74
Vertical_bees_2k,27,4,6.3731,4.25,1.500,14.9884,1.500,9.99,8.6152,1.500,5.74
Vertical_bees_2k,32,1,2.9235,4.39,0.667,21.7229,2.000,10.86,12.9523,2.000,6.48
Vertical_bees_2k,32,2,3.6847,4.91,0.750,15.9900,1.500,10.66,8.6206,1.500,5.75
Vertical_bees_2k,32,3,6.3879,4.26,1.500,14.9750,1.500,9.98,8.5870,1.500,5.72
Vertical_bees_2k,32,4,6.4048,4.26,1.503,14.9950,1.503,9.98,8.5902,1.503,5.72
Vertical_bees_2k,37,1,2.9589,4.44,0.667,21.7621,2.000,10.88,12.8853,2.000,6.44
Vertical_bees_2k,37,2,3.6975,4.93,0.750,15.9868,1.500,10.66,8.5918,1.500,5.73
Vertical_bees_2k,37,3,6.3854,4.25,1.501,14.9925,1.501,9.99,8.6072,1.501,5.73
Vertical_bees_2k,37,4,6.3770,4.25,1.500,14.9901,1.500,9.99,8.6131,1.500,5.74
Vertical_Carnaby_2k,22,1,2.9252,4.39,0.667,21.6720,2.000,10.83,12.8964,2.000,6.45
Vertical_Carnaby_2k,22,2,3.6830,4.91,0.750,15.9582,1.500,10.64,8.5922,1.500,5.73
