video_name,qp,preset,bitrate_kbps,psnr_y,psnr_u,psnr_v
NocturneDance_4k,37,superfast,33993.60,38.7569,38.3814,43.1911
NocturneDance_4k,22,veryfast,207964.34,47.5844,44.7401,48.0959
NocturneDance_4k,27,veryfast,116353.45,44.7031,41.8624,45.8789
NocturneDance_4k,32,veryfast,63881.29,41.7081,39.7885,44.2753
NocturneDance_4k,37,veryfast,34023.36,38.7797,38.3870,43.2092
NocturneDance_4k,22,faster,207964.34,47.5844,44.7401,48.0959
NocturneDance_4k,27,faster,116353.45,44.7031,41.8624,45.8789
NocturneDance_4k,32,faster,63881.29,41.7081,39.7885,44.2753
NocturneDance_4k,37,faster,34023.36,38.7797,38.3870,43.2092
NocturneDance_4k,22,fast,207965.77,47.5844,44.7401,48.0959
NocturneDance_4k,27,fast,116354.88,44.7031,41.8624,45.8789
NocturneDance_4k,32,fast,63882.72,41.7081,39.7885,44.2753
NocturneDance_4k,37,fast,34024.80,38.7797,38.3870,43.2092
NocturneDance_4k,22,medium,207844.81,47.5954,44.7409,48.0970
NocturneDance_4k,27,medium,116272.80,44.7099,41.8628,45.8767
NocturneDance_4k,32,medium,63774.24,41.7133,39.7885,44.2721
NocturneDance_4k,37,medium,33857.76,38.7780,38.3843,43.2003
NocturneDance_4k,22,slow,188751.38,47.4242,44.3207,47.7310
NocturneDance_4k,27,slow,102819.37,44.4138,41.3101,45.5104
NocturneDance_4k,32,slow,54713.76,41.3442,39.1549,43.9322
NocturneDance_4k,37,slow,27638.40,38.3130,37.7328,42.9694
NocturneDance_4k,22,slower,188418.73,47.4414,44.3273,47.7336
NocturneDance_4k,27,slower,102456.48,44.4274,41.3279,45.5208
NocturneDance_4k,32,slower,54755.52,41.3690,39.1909,43.9615
NocturneDance_4k,37,slower,28004.16,38.3688,37.7946,42.9965
NocturneDance_4k,22,veryslow,188420.17,47.4414,44.3273,47.7336
NocturneDance_4k,27,veryslow,102457.92,44.4274,41.3279,45.5208
NocturneDance_4k,32,veryslow,54756.96,41.3690,39.1909,43.9615
NocturneDance_4k,37,veryslow,28005.60,38.3688,37.7946,42.9965
