encoder,resolution,VideoName,QP,Preset,bpp,bitrate_kbps,psnr_y,psnr_u,psnr_v,psnr_yuv,Validated_Mean_Energy_J,Std_Dev_J,Avg_Time_per_Measurement_s,Measurements_Count_Used
x265,4K,BoxingPractice_4k,27,superfast,0.175307,87156.69,41.7017,45.9075,45.3794,42.194419,2804.4094315,7.69816049678928,64.27143872575,4
x265,4K,BoxingPractice_4k,27,ultrafast,0.185478,92213.7,41.5497,45.9635,45.4331,42.068275,747.198323166667,4.17935925910302,17.2582905023333,6
x265,4K,BoxingPractice_4k,27,veryfast,0.174884,86946.66,41.7373,45.9482,45.4085,42.229931,2932.26736818182,9.15757091758501,67.5667473818182,11
x265,4K,BoxingPractice_4k,32,fast,0.096582,48017.5,40.082,44.1219,43.5207,40.549413,2460.2903938,10.9127107908198,55.603294212,5
x265,4K,BoxingPractice_4k,32,faster,0.096579,48016.09,40.082,44.1219,43.5207,40.549413,2454.3890902,8.70771192562703,55.6039337102,5
x265,4K,BoxingPractice_4k,32,medium,0.096343,47898.56,40.0861,44.1194,43.5208,40.55285,2562.0626182,5.76158290335232,58.1369478344,5
x265,4K,BoxingPractice_4k,32,superfast,0.096858,48154.39,40.0424,44.1025,43.5097,40.512862,2369.76573266667,7.13243924767444,53.8101305981667,6
x265,4K,BoxingPractice_4k,32,ultrafast,0.101843,50632.86,39.8368,44.2355,43.6337,40.349025,651.834843857143,4.19732937648272,14.7998620015714,7
x265,4K,BoxingPractice_4k,32,veryfast,0.096579,48016.09,40.082,44.1219,43.5207,40.549413,2448.12153576923,8.25034675119435,55.5014422701539,13
x265,4K,BoxingPractice_4k,37,fast,0.057384,28529.57,38.0554,42.6074,42.0236,38.587912,2198.871495,6.66197044924454,49.4733342002,5
x265,4K,BoxingPractice_4k,37,faster,0.057381,28528.15,38.0554,42.6074,42.0236,38.587912,2199.05822075,12.0000307679421,49.64690434225,8
x265,4K,BoxingPractice_4k,37,medium,0.057474,28573.94,38.0595,42.6124,42.0285,38.592119,2270.39834725,1.09344872029019,51.18372589625,4
x265,4K,BoxingPractice_4k,37,superfast,0.057788,28730.17,38.0275,42.6035,42.021,38.563094,2147.24533683333,10.7892765404437,48.1778314783333,6
x265,4K,BoxingPractice_4k,37,ultrafast,0.060148,29903.56,37.8135,42.7756,42.1828,38.396713,606.239608,2.48791182977814,13.6458898725,6
x265,4K,BoxingPractice_4k,37,veryfast,0.057381,28528.15,38.0554,42.6074,42.0236,38.587912,2199.2926185,1.80349234772954,49.504479446,4
x265,720p,ControlledBurn_720p,22,fast,1.38724,38354.4,42.3972,47.8828,47.3849,43.051781,447.9030282,1.75491738378754,10.8854708204,5
x265,720p,ControlledBurn_720p,22,faster,1.387214,38353.68,42.3972,47.8828,47.3849,43.051781,447.1017852,1.36185320102396,10.8728076078,5
x265,720p,ControlledBurn_720p,22,medium,1.385773,38313.84,42.4108,47.8721,47.3772,43.062531,476.454448666667,1.25562956802867,11.5767873958333,6
x265,720p,ControlledBurn_720p,22,superfast,1.38684,38343.36,42.3618,47.8172,47.3384,43.0138,418.4821198,1.37697532872641,10.146815478,5
x265,720p,ControlledBurn_720p,22,ultrafast,1.459748,40359.12,41.8475,47.9774,47.4807,42.582694,111.404255833333,0.623592362903237,2.75399400208333,12
x265,720p,ControlledBurn_720p,22,veryfast,1.387214,38353.68,42.3972,47.8828,47.3849,43.051781,443.46387675,0.708652405013147,10.8439168705,4
x265,720p,ControlledBurn_720p,27,fast,0.905451,25033.92,38.5532,45.2137,44.7382,39.356044,391.665929,0.873603126366601,9.497853051,5
x265,720p,ControlledBurn_720p,27,faster,0.905425,25033.2,38.5532,45.2137,44.7382,39.356044,392.1568698,1.58676829079885,9.5564851962,5
x265,720p,ControlledBurn_720p,27,medium,0.90572,25041.36,38.5618,45.2107,44.7305,39.3629,415.354503,1.23547702368114,10.1890331648,5
x265,720p,ControlledBurn_720p,27,superfast,0.905668,25039.92,38.4959,45.1579,44.6855,39.299125,371.503187,0.49467809289729,8.7882778776,5
x265,720p,ControlledBurn_720p,27,ultrafast,0.954679,26394.96,38.0097,45.5848,45.0408,38.922587,100.326433666667,0.459169808430679,2.41519865283333,6
x265,720p,ControlledBurn_720p,27,veryfast,0.905425,25033.2,38.5532,45.2137,44.7382,39.356044,393.254507,0.392855565765588,9.73949728966667,3
x265,720p,ControlledBurn_720p,32,fast,0.554045,15318.24,34.7794,42.8727,42.5061,35.76815,343.66116875,0.435794764815102,8.31757566925,4
x265,720p,ControlledBurn_720p,32,faster,0.554019,15317.52,34.7794,42.8727,42.5061,35.76815,344.3742282,0.396015710395055,8.2476650172,5
x265,720p,ControlledBurn_720p,32,medium,0.553438,15301.44,34.7865,42.8672,42.487,35.772825,364.7715885,0.120055951512895,8.645903889,4
x265,720p,ControlledBurn_720p,32,superfast,0.553733,15309.6,34.7072,42.8182,42.4614,35.698775,327.3603314,1.15013025776944,7.6992326602,5
