VideoName,QP,Preset,Repeat,RAPL_Core_Before_uJ,RAPL_Core_After_uJ
RollerCoaster_720p,32,slow,6,236478860188,236821816403
RollerCoaster_720p,32,slow,7,236821833736,237178468810
RollerCoaster_720p,32,slow,8,237178483397,237521864842
RollerCoaster_720p,32,slow,9,237521875707,237863833266
RollerCoaster_720p,32,slow,10,237863846389,238206117058
RollerCoaster_720p,32,slow,11,238206137077,238547399326
RollerCoaster_720p,32,slow,12,238547413670,238886867451
RollerCoaster_720p,32,slow,13,238886875752,239227940675
RollerCoaster_720p,32,slow,14,239227950746,239570066203
RollerCoaster_720p,32,slow,15,239570095683,239923375479
RollerCoaster_720p,32,slower,1,239923388907,240357055216
RollerCoaster_720p,32,slower,2,240357065348,240787289283
RollerCoaster_720p,32,slower,3,240787303504,241217507176
RollerCoaster_720p,32,slower,4,241217519261,241663501090
RollerCoaster_720p,32,slower,5,241663513725,242098280312
RollerCoaster_720p,32,slower,6,242098291542,242530625213
RollerCoaster_720p,32,slower,7,242530635162,242966422254
RollerCoaster_720p,32,slower,8,242966435377,243414857386
RollerCoaster_720p,32,slower,9,243414867090,243848905286
RollerCoaster_720p,32,slower,10,243848917127,244283283202
RollerCoaster_720p,32,slower,11,244283293822,244717449632
RollerCoaster_720p,32,slower,12,244717462816,245147372848
RollerCoaster_720p,32,slower,13,245147384933,245580338475
RollerCoaster_720p,32,slower,14,245580353063,246012644864
RollerCoaster_720p,32,slower,15,246012656216,246456985340
RollerCoaster_720p,32,veryslow,1,246456998218,246886675707
RollerCoaster_720p,32,veryslow,2,246886697619,247318550456
RollerCoaster_720p,32,veryslow,3,247318563457,247751331819
RollerCoaster_720p,32,veryslow,4,247751342988,248184089439
RollerCoaster_720p,32,veryslow,5,248184103172,248616713942
RollerCoaster_720p,32,veryslow,6,248616728224,249060785193
RollerCoaster_720p,32,veryslow,7,249060797095,249490406163
RollerCoaster_720p,32,veryslow,8,249490416722,249920968477
RollerCoaster_720p,32,veryslow,9,249920983674,250352256679
RollerCoaster_720p,32,veryslow,10,250352270107,250794875114
RollerCoaster_720p,32,veryslow,11,250794890556,251227879743
RollerCoaster_720p,32,veryslow,12,251227894086,251659341468
RollerCoaster_720p,32,veryslow,13,251659358130,252090201632
RollerCoaster_720p,32,veryslow,14,252090221590,252521673122
RollerCoaster_720p,32,veryslow,15,252521687466,252953921833
RollerCoaster_720p,32,placebo,1,252953939777,253489201041
RollerCoaster_720p,32,placebo,2,253489213309,254004564285
RollerCoaster_720p,32,placebo,3,254004576370,254521535923
RollerCoaster_720p,32,placebo,4,254521548313,255036906613
RollerCoaster_720p,32,placebo,5,255036920773,255565524766
RollerCoaster_720p,32,placebo,6,255565539903,256082767766
RollerCoaster_720p,32,placebo,7,256082782292,256600308189
RollerCoaster_720p,32,placebo,8,256600320457,257118563088
RollerCoaster_720p,32,placebo,9,257118580056,257636832025
RollerCoaster_720p,32,placebo,10,257636841424,258168854955
RollerCoaster_720p,32,placebo,11,258168868077,258684236204
RollerCoaster_720p,32,placebo,12,258684247861,259201141008
RollerCoaster_720p,32,placebo,13,259201153093,259724678731
RollerCoaster_720p,32,placebo,14,259724700642,260241913674
RollerCoaster_720p,32,placebo,15,260241924843,260761427541
RollerCoaster_720p,37,ultrafast,1,260761441213,260814409767
RollerCoaster_720p,37,ultrafast,2,260814428748,260867252222
RollerCoaster_720p,37,ultrafast,3,260867265222,260919830334
RollerCoaster_720p,37,ultrafast,4,260919847119,260973009214
RollerCoaster_720p,37,ultrafast,5,260973021909,261025580430
RollerCoaster_720p,37,ultrafast,6,261025596116,261078440646
RollerCoaster_720p,37,ultrafast,7,261078450839,261131305501
RollerCoaster_720p,37,ultrafast,8,261131324055,261184088874
RollerCoaster_720p,37,ultrafast,9,261184099982,261237206719
RollerCoaster_720p,37,ultrafast,10,261237223259,261290328226
RollerCoaster_720p,37,ultrafast,11,261290339334,261342933743
RollerCoaster_720p,37,ultrafast,12,261342952908,261395752028
RollerCoaster_720p,37,ultrafast,13,261395768630,261448520814
RollerCoaster_720p,37,ultrafast,14,261448533754,261501345020
RollerCoaster_720p,37,ultrafast,15,261501360034,261554243322
RollerCoaster_720p,37,superfast,1,261554256566,261735510558
RollerCoaster_720p,37,superfast,2,261735522399,261916229700
RollerCoaster_720p,37,superfast,3,261916248376,262096580617
RollerCoaster_720p,37,superfast,4,262096597219,134114952
RollerCoaster_720p,37,superfast,5,134123619,324412682
RollerCoaster_720p,37,superfast,6,324456994,506924727
RollerCoaster_720p,37,superfast,7,506936629,685911452
RollerCoaster_720p,37,superfast,8,685925978,866815835
RollerCoaster_720p,37,superfast,9,866833962,1048215028
RollerCoaster_720p,37,superfast,10,1048229616,1228914151
RollerCoaster_720p,37,superfast,11,1228934659,1409705863
RollerCoaster_720p,37,superfast,12,1409722038,1591495193
